post_id,text,time,image,images,likes,comments,shares,post_url,link
1784982055001788,Economía 2020 proyecciones 2021,2020-12-26 20:06:05,,[],73,22,13,https://facebook.com/watch?v=1784982055001788,
3693759194039031,"Para todos los interesados en crecer profesionalmente en las finanzas a nivel post grado, una orientación profesional y laboral #Finanzas #postgrado",2020-12-08 21:59:45,https://scontent.fgye2-1.fna.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/130865764_3693759144039036_2275666195122148893_n.jpg?_nc_cat=101&ccb=1-3&_nc_sid=110474&_nc_ohc=fcQH93iwquwAX_P5Mo9&_nc_ht=scontent.fgye2-1.fna&tp=14&oh=fbcb2694272088a1e11168d5374a4865&oe=6068FC6F,['https://scontent.fgye2-1.fna.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/130865764_3693759144039036_2275666195122148893_n.jpg?_nc_cat=101&ccb=1-3&_nc_sid=110474&_nc_ohc=fcQH93iwquwAX_P5Mo9&_nc_ht=scontent.fgye2-1.fna&tp=14&oh=fbcb2694272088a1e11168d5374a4865&oe=6068FC6F'],12,4,0,https://facebook.com/story.php?story_fbid=3693759194039031&id=476804935734489,
3664480206966930,"Un nuevo aporte de la empresa para cualquier persona que desee empezar en el análisis de datos, en especial para los emprendedores que deseen iniciar un control de las operaciones, para los que deseen investigar y hacer análisis descriptivos de la información obtenida.
Los esperamos.
Informes y consultas en nuestro correo informes@ecotraining-ayc.com y por nuestras redes sociales.",2020-11-27 18:22:46,https://scontent.fgye2-1.fna.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/127524056_3664475113634106_18247617462110265_n.jpg?_nc_cat=100&ccb=1-3&_nc_sid=8024bb&_nc_ohc=x9R8YtvFuugAX_0FR56&_nc_ht=scontent.fgye2-1.fna&tp=14&oh=c4627ab01107c0d41db245a0c036b2af&oe=606A383C,['https://scontent.fgye2-1.fna.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/127524056_3664475113634106_18247617462110265_n.jpg?_nc_cat=100&ccb=1-3&_nc_sid=8024bb&_nc_ohc=x9R8YtvFuugAX_0FR56&_nc_ht=scontent.fgye2-1.fna&tp=14&oh=c4627ab01107c0d41db245a0c036b2af&oe=606A383C'],13,1,0,https://facebook.com/story.php?story_fbid=3664480206966930&id=476804935734489,
771078396957258,,2020-11-13 22:33:07,,[],16,17,82,https://facebook.com/watch?v=771078396957258,
367183884372586,,2020-11-13 22:31:25,,[],0,0,0,https://facebook.com/watch?v=367183884372586,
3536330703115215,"Inscripciones abiertas, esperamos a todas las personas interesadas en seguir aprendiendo, en sumar para su progreso personal y profesional.
Informes: por está vía, al correo informes@ecotraining-ayc.com o en el teléfono 938254847
Juan Manuel Rivas Angel Renato Meneses Crispin Víctor Ballena Rosinaldo Chavez Diego Jorge Salazar Ronny F. Alvarado Loli",2020-10-11 11:52:34,https://scontent.fgye2-1.fna.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/121057419_3536320536449565_1912387959948913526_o.jpg?_nc_cat=111&ccb=1-3&_nc_sid=8024bb&_nc_ohc=3FOgr_KqtV0AX_9YrTb&_nc_ht=scontent.fgye2-1.fna&tp=14&oh=0c6cae808c6c6b6640395c64d8eacfb4&oe=60690B9C,['https://scontent.fgye2-1.fna.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/121057419_3536320536449565_1912387959948913526_o.jpg?_nc_cat=111&ccb=1-3&_nc_sid=8024bb&_nc_ohc=3FOgr_KqtV0AX_9YrTb&_nc_ht=scontent.fgye2-1.fna&tp=14&oh=0c6cae808c6c6b6640395c64d8eacfb4&oe=60690B9C'],7,0,0,https://facebook.com/story.php?story_fbid=3536330703115215&id=476804935734489,
3506142772800675,Eco Training Analistas & Consultores updated their website address.,2020-10-01 17:39:44,,[],4,0,0,https://facebook.com/story.php?story_fbid=3506142772800675&id=476804935734489,https://ecotraining-analistas-consultores.negocio.site/?m=true
3500441566704129,"Invitamos a todos los interesados en nuestra nueva oferta de capacitación, siempre pensando en el profesional que busca mejoras laborales y económicas. Rosinaldo Chavez Diego Juan Manuel Rivas Víctor Ballena Angel Renato Meneses Crispin",2020-09-29 22:18:56,https://scontent.fgye2-1.fna.fbcdn.net/v/t1.0-9/120463328_3500436640037955_930271326743930336_n.png?_nc_cat=107&ccb=1-3&_nc_sid=8024bb&_nc_ohc=TfwgG0PTh9wAX-5cWqT&_nc_ht=scontent.fgye2-1.fna&oh=e7f799d3add4f41bc28f0a2f383a864d&oe=606B04A0,"['https://scontent.fgye2-1.fna.fbcdn.net/v/t1.0-9/120463328_3500436640037955_930271326743930336_n.png?_nc_cat=107&ccb=1-3&_nc_sid=8024bb&_nc_ohc=TfwgG0PTh9wAX-5cWqT&_nc_ht=scontent.fgye2-1.fna&oh=e7f799d3add4f41bc28f0a2f383a864d&oe=606B04A0', 'https://scontent.fgye2-1.fna.fbcdn.net/v/t1.0-9/120500306_3500437110037908_4675819550465030308_n.png?_nc_cat=105&ccb=1-3&_nc_sid=8024bb&_nc_ohc=F2WC1ynStRsAX_sxjWG&_nc_ht=scontent.fgye2-1.fna&oh=2fedd372f1663e02313ba4411bbbeb9c&oe=606BB0F1']",11,1,0,https://facebook.com/story.php?story_fbid=3500441566704129&id=476804935734489,
3416405581774395,"Curso práctico para iniciar un estudio de los datos y realizar todo tipo de gráficos, empieza con nosotros en el fascinante mundo de la big data. Sí eres un empresario, negociante, estudiante y persona que trabaja con datos éste es el momento de empezar.",2020-09-03 22:07:19,https://scontent.fgye2-1.fna.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118832861_3416399631774990_6361351325647707573_o.jpg?_nc_cat=108&ccb=1-3&_nc_sid=8024bb&_nc_ohc=9BhKuYYSMi0AX-y29dx&_nc_ht=scontent.fgye2-1.fna&tp=14&oh=3992c5446aa992dc5467c2d62b27a3dc&oe=6068B07F,['https://scontent.fgye2-1.fna.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118832861_3416399631774990_6361351325647707573_o.jpg?_nc_cat=108&ccb=1-3&_nc_sid=8024bb&_nc_ohc=9BhKuYYSMi0AX-y29dx&_nc_ht=scontent.fgye2-1.fna&tp=14&oh=3992c5446aa992dc5467c2d62b27a3dc&oe=6068B07F'],56,5,0,https://facebook.com/story.php?story_fbid=3416405581774395&id=476804935734489,
3415354211879532,"Para el público en general que desee entrar al mundo del análisis de datos utilizando el último software de moda, un curso muy básico dictado por un reconocido experto.",2020-09-03 13:04:11,https://scontent.fgye2-1.fna.fbcdn.net/v/t1.0-9/118626293_3415338198547800_6342981985802808208_o.png?_nc_cat=111&ccb=1-3&_nc_sid=8024bb&_nc_ohc=BscQqdwMD00AX-xend-&_nc_ht=scontent.fgye2-1.fna&oh=735ffad5060b3aaa231927397f75fa7d&oe=60686371,['https://scontent.fgye2-1.fna.fbcdn.net/v/t1.0-9/118626293_3415338198547800_6342981985802808208_o.png?_nc_cat=111&ccb=1-3&_nc_sid=8024bb&_nc_ohc=BscQqdwMD00AX-xend-&_nc_ht=scontent.fgye2-1.fna&oh=735ffad5060b3aaa231927397f75fa7d&oe=60686371'],52,5,0,https://facebook.com/story.php?story_fbid=3415354211879532&id=476804935734489,
