created_at,tweet_id,tweet_text,screen_name,name,account_creation_date,urls
2021-01-30 21:11:03,1355624590534471684,"This pastime may seem like a quintessentially 20th-century phenomenon, but wheeled shoes first rolled out as early… https://t.co/y1BM5rznvD",NatGeo,National Geographic,Tue Nov 18 21:28:10 +0000 2008,"[{'url': 'https://t.co/y1BM5rznvD', 'expanded_url': 'https://twitter.com/i/web/status/1355624590534471684', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]"
2021-01-30 19:15:23,1355595483482370052,Johnson &amp; Johnson’s candidate is a single-dose vaccine that can survive up to three months in an ordinary refrigera… https://t.co/JFBl6n8ySw,NatGeo,National Geographic,Tue Nov 18 21:28:10 +0000 2008,"[{'url': 'https://t.co/JFBl6n8ySw', 'expanded_url': 'https://twitter.com/i/web/status/1355595483482370052', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [121, 144]}]"
2021-01-30 17:03:03,1355562180989607942,A cheetah peruses its territory from a perch atop a large termite mound in this image by photographer Chris Johns https://t.co/WiGcbv3xWi,NatGeo,National Geographic,Tue Nov 18 21:28:10 +0000 2008,[]
2021-01-30 16:03:03,1355547078940893184,"The Philippines’ 7,600-plus islands are the cradle for a mind-boggling number of diverse species https://t.co/gLs7UT0GWz",NatGeo,National Geographic,Tue Nov 18 21:28:10 +0000 2008,"[{'url': 'https://t.co/gLs7UT0GWz', 'expanded_url': 'https://on.natgeo.com/3ovpJ2x', 'display_url': 'on.natgeo.com/3ovpJ2x', 'indices': [97, 120]}]"
2021-01-30 15:08:03,1355533240816316418,"A 62-year-old mystery has prompted conspiracies involving Soviet experiments, Yetis, and aliens. Science finally ha… https://t.co/qMU5Zjb3xJ",NatGeo,National Geographic,Tue Nov 18 21:28:10 +0000 2008,"[{'url': 'https://t.co/qMU5Zjb3xJ', 'expanded_url': 'https://twitter.com/i/web/status/1355533240816316418', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]"
2021-01-30 14:14:23,1355519734322704387,"The company's licensed region is home to some 200,000 people and abundant wildlife and includes important migratory… https://t.co/fvpZHP3SpY",NatGeo,National Geographic,Tue Nov 18 21:28:10 +0000 2008,"[{'url': 'https://t.co/fvpZHP3SpY', 'expanded_url': 'https://twitter.com/i/web/status/1355519734322704387', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]"
2021-01-30 13:26:03,1355507570845298688,"""I knew in my heart that this picture defines not just the moment in history, but also the fact that democracy was… https://t.co/w8DNfP8zeu",NatGeo,National Geographic,Tue Nov 18 21:28:10 +0000 2008,"[{'url': 'https://t.co/w8DNfP8zeu', 'expanded_url': 'https://twitter.com/i/web/status/1355507570845298688', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]"
2021-01-30 11:30:03,1355478378850246656,Some experts see mRNA vaccines as the key to faster or more effective vaccine programs—tackling multiple viruses wi… https://t.co/qxDjQAcvZt,NatGeo,National Geographic,Tue Nov 18 21:28:10 +0000 2008,"[{'url': 'https://t.co/qxDjQAcvZt', 'expanded_url': 'https://twitter.com/i/web/status/1355478378850246656', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]"
2021-01-30 07:10:23,1355413030977359873,Many animals have an ability to process and represent numbers—arguably a form of counting https://t.co/HDdvDZdNcx,NatGeo,National Geographic,Tue Nov 18 21:28:10 +0000 2008,"[{'url': 'https://t.co/HDdvDZdNcx', 'expanded_url': 'https://on.natgeo.com/39ubFC6', 'display_url': 'on.natgeo.com/39ubFC6', 'indices': [90, 113]}]"
2021-01-30 05:09:23,1355382578656792578,"From the air, photos expose the economic divide in cities where shacks border pristine new developments https://t.co/61BhJFYjlr",NatGeo,National Geographic,Tue Nov 18 21:28:10 +0000 2008,"[{'url': 'https://t.co/61BhJFYjlr', 'expanded_url': 'https://on.natgeo.com/39w5TzZ', 'display_url': 'on.natgeo.com/39w5TzZ', 'indices': [104, 127]}]"
2021-01-30 03:08:03,1355352045344194560,"As coronavirus cases and hospitalizations begin to fall, concerns mount over the spread of new viral variants https://t.co/l6OD71KjwP",NatGeo,National Geographic,Tue Nov 18 21:28:10 +0000 2008,"[{'url': 'https://t.co/l6OD71KjwP', 'expanded_url': 'https://on.natgeo.com/3cmRQOW', 'display_url': 'on.natgeo.com/3cmRQOW', 'indices': [110, 133]}]"
2021-01-30 01:13:03,1355323106412396546,"Within a century of Sutton Hoo, the practice of burying the dead with piles of bling was falling out of fashion. Wh… https://t.co/zR5eXQdtMn",NatGeo,National Geographic,Tue Nov 18 21:28:10 +0000 2008,"[{'url': 'https://t.co/zR5eXQdtMn', 'expanded_url': 'https://twitter.com/i/web/status/1355323106412396546', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]"
2021-01-30 00:33:58,1355313268454264833,RT @ngadventure: Positive visualization and a few words with her coach help an athlete concentrate before competing in the Women’s Snowboar…,NatGeo,National Geographic,Tue Nov 18 21:28:10 +0000 2008,[]
2021-01-29 23:11:00,1355292388718235649,Spotted hyenas grow up in matriarchal clans with some of nature's most devoted mothers https://t.co/NJqLuns7cx,NatGeo,National Geographic,Tue Nov 18 21:28:10 +0000 2008,[]
2021-01-29 21:08:04,1355261451926167554,Egg Boy—a spirit that was once all but unknown outside his province—now welcomes thousands of devotees a day https://t.co/ERe1Q7y8wg,NatGeo,National Geographic,Tue Nov 18 21:28:10 +0000 2008,"[{'url': 'https://t.co/ERe1Q7y8wg', 'expanded_url': 'https://on.natgeo.com/2NNfiLc', 'display_url': 'on.natgeo.com/2NNfiLc', 'indices': [109, 132]}]"
2021-01-29 19:07:23,1355231080358535170,"Tackling climate change will cost money, but so will failing to do so. This is what the ""social cost of carbon"" aim… https://t.co/xzrCcbIZOj",NatGeo,National Geographic,Tue Nov 18 21:28:10 +0000 2008,"[{'url': 'https://t.co/xzrCcbIZOj', 'expanded_url': 'https://twitter.com/i/web/status/1355231080358535170', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]"
2021-01-29 17:16:04,1355203067600392200,"Happy Friday! Help us caption this image by Paul Nicklen taken in Yukon Territory, Canada https://t.co/FMLm8L6foe",NatGeo,National Geographic,Tue Nov 18 21:28:10 +0000 2008,[]
2021-01-29 16:10:03,1355186455379849222,Johnson &amp; Johnson’s candidate is a single-dose vaccine that can survive up to three months in an ordinary refrigera… https://t.co/p8JzKSz3GO,NatGeo,National Geographic,Tue Nov 18 21:28:10 +0000 2008,"[{'url': 'https://t.co/p8JzKSz3GO', 'expanded_url': 'https://twitter.com/i/web/status/1355186455379849222', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [121, 144]}]"
2021-01-29 15:09:52,1355171309173530627,"RT @SquigglyVolcano: Buckle up, everyone, this story is *wild*.

The 62-year-old Dyatlov Pass mystery, in which nine students died at the h…",NatGeo,National Geographic,Tue Nov 18 21:28:10 +0000 2008,[]
2021-01-29 14:20:03,1355158772696678401,Scientists are racing to understand how the jumble of mutations in each variant influences viral spread https://t.co/bkqsP2cETJ,NatGeo,National Geographic,Tue Nov 18 21:28:10 +0000 2008,"[{'url': 'https://t.co/bkqsP2cETJ', 'expanded_url': 'https://on.natgeo.com/36n2Wjm', 'display_url': 'on.natgeo.com/36n2Wjm', 'indices': [104, 127]}]"
