created_at,tweet_id,tweet_text,screen_name,name,account_creation_date,urls
2021-01-30 19:36:48,1355600871854198784,"@JayLav_ Yeah, Dr Frankensteen https://t.co/WDJ9K2UJqK",elonmusk,Elon Musk,Tue Jun 02 20:12:29 +0000 2009,[]
2021-01-30 19:19:52,1355596610432995328,@YounesH1989 I never used this guy. He gave a talk at SpaceX once.,elonmusk,Elon Musk,Tue Jun 02 20:12:29 +0000 2009,[]
2021-01-30 10:52:49,1355469005708947457,@flcnhvy Only Halo,elonmusk,Elon Musk,Tue Jun 02 20:12:29 +0000 2009,[]
2021-01-30 09:46:56,1355452426875064320,https://t.co/pyRCFE97Xp,elonmusk,Elon Musk,Tue Jun 02 20:12:29 +0000 2009,[]
2021-01-29 23:22:24,1355295257986883584,@Carnage4Life I sure hope that’s not true at Tesla or SpaceX!,elonmusk,Elon Musk,Tue Jun 02 20:12:29 +0000 2009,[]
2021-01-29 23:19:50,1355294612324114432,"@thejackbeyer @NASASpaceflight Cryoproof, then install engines",elonmusk,Elon Musk,Tue Jun 02 20:12:29 +0000 2009,[]
2021-01-29 20:44:02,1355255403945332737,Starship SN9 &amp; SN10 https://t.co/urtPJn7amo,elonmusk,Elon Musk,Tue Jun 02 20:12:29 +0000 2009,[]
2021-01-29 08:22:15,1355068728128516101,"In retrospect, it was inevitable",elonmusk,Elon Musk,Tue Jun 02 20:12:29 +0000 2009,[]
2021-01-29 05:16:04,1355021874850394114,@RGVaerialphotos Great shot,elonmusk,Elon Musk,Tue Jun 02 20:12:29 +0000 2009,[]
2021-01-29 00:47:33,1354954300041080835,"@its_menieb Live by the sword, die by the sword",elonmusk,Elon Musk,Tue Jun 02 20:12:29 +0000 2009,[]
2021-01-29 00:37:24,1354951746305585152,@lexfridman Entropy,elonmusk,Elon Musk,Tue Jun 02 20:12:29 +0000 2009,[]
2021-01-29 00:35:57,1354951380037984256,@teslaownersSV @GameSpot Buy &amp; hold companies that make goods &amp; produce services you love,elonmusk,Elon Musk,Tue Jun 02 20:12:29 +0000 2009,[]
2021-01-29 00:33:08,1354950673394266118,@engineers_feed Earth is small &amp; we are smaller still https://t.co/gTOhcLGJ82,elonmusk,Elon Musk,Tue Jun 02 20:12:29 +0000 2009,[]
2021-01-28 23:49:54,1354939790064496653,@GameSpot 👀,elonmusk,Elon Musk,Tue Jun 02 20:12:29 +0000 2009,[]
2021-01-28 23:29:19,1354934611953016843,"With Cyberpunk, even the hotfixes literally have hotfixes, but … great game",elonmusk,Elon Musk,Tue Jun 02 20:12:29 +0000 2009,[]
2021-01-28 22:47:23,1354924057825837060,https://t.co/a6kmk0PEgM,elonmusk,Elon Musk,Tue Jun 02 20:12:29 +0000 2009,[]
2021-01-28 22:33:33,1354920578482888707,@DocumentingBTC The dollar is shorting itself,elonmusk,Elon Musk,Tue Jun 02 20:12:29 +0000 2009,[]
2021-01-28 22:31:06,1354919962796810241,@westcoastbill Indeed,elonmusk,Elon Musk,Tue Jun 02 20:12:29 +0000 2009,[]
2021-01-28 21:31:03,1354904849234751499,@JohnnaCrider1 @Iupsychdoctor @AOC @RobinhoodApp Shopify is great too. SpaceX used them.,elonmusk,Elon Musk,Tue Jun 02 20:12:29 +0000 2009,[]
2021-01-28 20:51:33,1354894906968449028,@ohqwix @BnnJ6bCghvzQxLb 🤣🤣,elonmusk,Elon Musk,Tue Jun 02 20:12:29 +0000 2009,[]
